id_record,value
29439471,53.815
29444229,1.38
29448305,0.82
29446583,62.62
29450154,0.53
29450157,0.52
29450788,0.5
29450547,61.651
29451199,0.6
29452194,57.747
29452435,0.61
29453404,50.316
29453681,0.55
29454566,0.53
29454567,0.51
29454744,40.425
29454965,0.59
29455942,0.51
29456283,46.134
29456491,1.93
29457719,0.53
29457722,0.45
29457318,64.781
29457836,0.9
29459338,0.88
29459114,54.198
29460162,34.922
29460773,0.03
29461638,0.02
29461645,0.07
29461646,0.05
29461935,0.02
29461573,26.754
29463157,0.02
29462833,31.234
29463805,31.794
29464335,0
29464001,0
29464003,0.04
29465180,25.041
29465570,0
29465153,0
29466210,31.392
29466754,0
29467690,42.889
29468200,0
29468576,0
29468584,0.01
29469330,0
29469012,44.313
29470111,0
29470115,0.01
29469929,58.785
29471324,0.48
29470514,0
29471464,48.139
29471822,2.94
29472857,1.15
29472542,51.504
29472930,4.65
29473973,49.982
29474162,4.56
29475142,1.13
29475145,1.66
29475321,59.912
29476134,1.15
29476524,50.021
29476757,0.94
29477526,0.88
29477826,0.6
29477919,53.928
29478169,0.9
29483938,2.23
29479478,53.398
29486070,51.194
29487961,0.92
29489703,0.53
29489704,0.53
29489959,54.023
29490537,0.63
29490709,0.5
29491976,51.769
29492243,0.67
29493129,0.51
29493407,49.171
29494477,0.53
29493660,0.64
29494722,46.463
29495902,0.55
29494931,0.64
29496205,44.189
29496436,0.66
29497312,0.52
29497747,57.366
29497933,0.27
29498751,0.54
29498814,0.06
29498922,43.903
29499272,0
29501387,0.09
29501388,0.13
29500382,0
29500702,35.111
29501366,42.015
29501804,0
29503060,1.03
29502630,39.616
29502881,0.07
29504168,0
29503792,29.666
29504178,0
29505248,0.04
29505180,28.908
29505596,0
29506337,40.035
29506552,0
29506775,0
29508529,0.01
29508549,0.04
29507534,55.91
29507708,0
29509196,0.01
29508803,61.669
29509932,0.3
29510058,54.967
29510409,1.5
29511039,52.633
29512046,0.69
29511840,4.4
29512413,42.711
29512764,3.9
29512313,1.62
29513501,45.457
29514058,1.5
29514520,45.303
29514931,1.25
29516599,2.05
29516604,1.25
29515740,37.171
29516136,0.81
29516618,1
29517253,0.8
29517305,36.184
29518864,33.484
29518615,0.65
29517598,1.15
29522917,0.98
29527083,33.528
29528933,0.82
29530442,0.52
29529251,0.52
29529538,40.374
29530150,1.37
29531594,38.798
29531871,0.55
29532661,0.52
29532871,31.449
29533205,0.64
29533973,0.53
29534238,30.073
29534587,0.52
29535410,0.55
29535558,24.347
29535753,1.67
29536855,30.703
29537034,0.14
29537774,0.51
29537775,0.28
29538126,27.99
29538278,0.05
29538514,0.01
29539335,0.03
29539435,5.706
29539723,0.45
29540479,4.318
29541464,0
29540753,0.03
29542063,0.24
29541815,0.06
29541644,0.078
29543081,0
29542891,0
29543285,0
29544375,0.01
29544531,0
29545236,0
29545245,0.16
29545237,0
29545565,0.86
29546791,0
29546558,0
29546952,0.29
29547747,0.776
29547930,0.08
29548952,0
29548957,0.1
29548899,3.051
29549208,0.16
29550148,12.23
29550328,0.59
29551115,0.52
29551124,2.44
29551246,13.962
29552215,2.76
29552594,13.711
29552840,4.74
29553747,1.77
29553752,0.81
29554061,1.75
29553707,14.309
29555380,0.95
29555101,0.78
29555129,12.577
29556605,0.77
29557351,0.74
29556324,12.97
29557710,13.15
29561964,0.66
29566183,0.81
29564514,13.243
29568358,0.65
29568359,0.65
29569372,1.51
29568882,12.155
29569641,0.64
29571218,11.972
29571452,0.61
29572370,0.63
29572531,12.186
29572942,0.55
29573796,0.65
29574109,11.115
29574432,0.56
29575197,0.64
29575501,16.012
29576477,0.82
29575730,1.27
29576908,2.17
29576686,40.47
29578042,1.01
29578050,0.21
29577679,37.054
29578101,0
29579935,36.296
29580456,0
29579401,0.02
29580230,29.653
29579264,0
29582047,0.01
29581624,32.043
29581965,0.01
29581970,0.01
29583364,0
29583563,0.58
29583049,41.334
29584190,23.022
29584634,0.72
29584463,0
29585646,0.01
29585519,22.832
29586327,0.78
29587205,0
29586660,36.425
29587094,0.13
29588616,0.02
29588348,0.17
29587973,56.819
29589406,0.51
29589647,0.3
29589244,56.758
29590503,54.751
29590748,1.4
29591698,47.388
29592632,1.16
29592633,1.79
29591884,1.69
29592909,45.168
29593920,1.62
29593159,2.05
29594112,48.8
29594360,0.7
29594505,1.93
29681227,50.257
29682257,0.64
29681460,1.29
29682573,55.569
29682761,0.6
29683508,0.58
29684163,45.498
29688335,0.7
29694549,0.55
29694553,0.54
29691605,39.386
29693213,0.78
29695075,39.559
29695334,0.56
29696738,0.54
29696997,41.075
29697416,0.53
29697205,0.54
29698267,51.748
29698484,0.52
29699368,0.53
29699668,44.294
29700716,0.56
29699874,0.88
29701184,2.11
29700965,44.313
29701907,0.86
29702152,60.698
29702374,0.41
29703125,0.93
29703441,59.352
29704375,50.882
29705021,0
29705850,0.09
29705853,0
29706091,60.626
29706330,0
29707984,0.08
29707400,30.282
29707645,0
29708807,35.998
29706654,0.06
29709074,0.1
29709300,0.02
29710106,20.13
29710724,0.05
29710620,0.03
29711277,0.02
29711578,25.295
29711953,0
29712650,37.482
29713133,0
29714023,0.01
29714026,0
29713835,55.39
29714286,0.01
29715146,70.126
29715395,0.04
29716128,0.38
29716554,1.23
29716855,0.68
29717037,51.815
29717735,1.87
29717647,43.285
29718022,1.75
29718906,43.319
29719351,1.63
29720064,48.3
29720998,0.64
29721565,0.77
29719150,1.57
29721384,46.144
29720249,1.27
29722112,62.298
29722567,0.83
29722932,0.62
29722939,0.56
29724008,62.69
29728702,0.54
29728704,0.52
29726974,53.913
29703681,0
29728038,1.94
29728043,0.81
29729182,0.53
29729306,41.651
29729657,0.58
29734808,53.152
29735687,0.59
29737525,0.53
29738111,0.52
29737696,56.378
29739813,49.492
29740944,0.54
29740949,0.51
