id_record,value
29439471,0
29444229,0
29448305,0
29446583,0
29450154,0
29450157,0
29450788,0
29450547,0
29451199,0
29452194,0
29452435,0
29453404,0
29453681,0
29454566,0
29454567,0
29454744,0
29454965,0
29455942,0
29456283,0
29456491,0
29457719,0
29457722,0.02
29457318,0
29457836,0.2
29459338,1.27
29459114,0
29460162,0
29460773,3.01
29461638,1.11
29461645,1.81
29461646,2.41
29461935,1.78
29461573,0
29463157,2.55
29462833,0
29463805,0
29464335,4.5
29464001,3.71
29464003,2.93
29465180,0
29465570,4.33
29465153,4.18
29466210,0
29466754,3.93
29467690,0
29468200,4.9
29468576,3.58
29468584,3.01
29469330,3.43
29469012,0
29470111,2.07
29470115,0.75
29469929,0
29471324,0
29470514,1.32
29471464,0
29471822,0.01
29472857,0
29472542,0
29472930,0
29473973,0
29474162,0
29475142,0
29475145,0
29475321,0
29476134,0
29476524,0
29476757,0
29477526,0
29477826,0
29477919,0
29478169,0
29483938,0
29479478,0
29486070,0
29487961,0
29489703,0
29489704,0
29489959,0
29490537,0
29490709,0
29491976,0
29492243,0
29493129,0
29493407,0
29494477,0
29493660,0
29494722,0
29495902,0
29494931,0
29496205,0
29496436,0
29497312,0
29497747,0
29497933,0.01
29498751,0
29498814,0.72
29498922,0
29499272,1.75
29501387,1.75
29501388,0.67
29500382,4.47
29500702,0
29501366,0
29501804,2.39
29503060,0.31
29502630,0
29502881,1.23
29504168,1.71
29503792,0
29504178,1.95
29505248,0.78
29505180,0
29505596,1.94
29506337,0
29506552,1.24
29506775,2.22
29508529,1.07
29508549,0.42
29507534,0
29507708,2.16
29509196,1.01
29508803,0
29509932,0.04
29510058,0
29510409,0.33
29511039,0
29512046,0
29511840,0
29512413,0
29512764,0
29512313,0
29513501,0
29514058,0
29514520,0
29514931,0
29516599,0
29516604,0
29515740,0
29516136,0
29516618,0
29517253,0
29517305,0
29518864,0
29518615,0
29517598,0
29522917,0
29527083,0
29528933,0
29530442,0
29529251,0
29529538,0
29530150,0
29531594,0
29531871,0
29532661,0
29532871,0
29533205,0
29533973,0
29534238,0
29534587,0
29535410,0
29535558,0
29535753,0
29536855,0
29537034,0.28
29537774,0
29537775,0
29538126,0
29538278,0.49
29538514,1.24
29539335,2.11
29539435,1.109
29539723,0.89
29540479,2.011
29541464,2.9
29540753,1.71
29542063,3.83
29541815,3.08
29541644,16.749
29543081,3.71
29542891,15.034
29543285,3.25
29544375,1.41
29544531,23.915
29545236,2.33
29545245,0.07
29545237,25.776
29545565,0.15
29546791,0.51
29546558,22.547
29546952,1.66
29547747,8.03
29547930,0.61
29548952,2.31
29548957,0.19
29548899,1.462
29549208,0.19
29550148,0
29550328,0
29551115,0
29551124,0
29551246,0
29552215,0
29552594,0
29552840,0
29553747,0
29553752,0
29554061,0
29553707,0
29555380,0
29555101,0
29555129,0
29556605,0
29557351,0
29556324,0
29557710,0
29561964,0
29566183,0
29564514,0
29568358,0
29568359,0
29569372,0
29568882,0
29569641,0
29571218,0
29571452,0
29572370,0
29572531,0
29572942,0
29573796,0
29574109,0
29574432,0
29575197,0
29575501,0
29576477,0
29575730,0
29576908,0.09
29576686,0
29578042,0
29578050,0.39
29577679,0
29578101,1.69
29579935,0
29580456,4.78
29579401,3.28
29580230,0
29579264,1.72
29582047,3.69
29581624,0
29581965,2.36
29581970,2.16
29583364,4.16
29583563,1.68
29583049,0
29584190,0
29584634,1.04
29584463,4.11
29585646,2.7
29585519,0
29586327,0.81
29587205,2.95
29586660,0
29587094,3.83
29588616,1.55
29588348,1.93
29587973,0
29589406,0.07
29589647,0.45
29589244,0
29590503,0
29590748,0
29591698,0
29592632,0
29592633,0
29591884,0
29592909,0
29593920,0
29593159,0
29594112,0
29594360,0
29594505,0
29681227,0
29682257,0
29681460,0
29682573,0
29682761,0
29683508,0
29684163,0
29688335,0
29694549,0
29694553,0
29691605,0
29693213,0
29695075,0
29695334,0
29696738,0
29696997,0
29697416,0
29697205,0
29698267,0
29698484,0
29699368,0
29699668,0
29700716,0
29699874,0
29701184,0
29700965,0
29701907,0
29702152,0
29702374,0.25
29703125,0
29703441,0
29704375,0
29705021,4.98
29705850,0.51
29705853,2.29
29706091,0
29706330,3.37
29707984,4.21
29707400,0
29707645,2.65
29708807,0
29706654,3.68
29709074,2.03
29709300,4.51
29710106,0
29710724,4.39
29710620,2.87
29711277,3.36
29711578,0
29711953,5.9
29712650,0
29713133,5.1
29714023,3.08
29714026,2.03
29713835,0
29714286,3.14
29715146,0
29715395,1.25
29716128,0.48
29716554,0
29716855,0.03
29717037,0
29717735,0
29717647,0
29718022,0
29718906,0
29719351,0
29720064,0
29720998,0
29721565,0
29719150,0
29721384,0
29720249,0
29722112,0
29722567,0
29722932,0
29722939,0
29724008,0
29728702,0
29728704,0
29726974,0
29703681,2.15
29728038,0
29728043,0
29729182,0
29729306,0
29729657,0
29734808,0
29735687,0
29737525,0
29738111,0
29737696,0
29739813,0
29740944,0
29740949,0
29740129,0
29741299,0
29741549,0
29742322,0
29742326,0.09
29742444,0
29742814,0.2
29743824,0
29744230,1.8
29744015,1.41
29745429,2.5
29745601,4.31
29745126,0
29746369,0
29746540,3.08
29746879,4.45
29747608,0
29747770,3.79
29748870,0
29750280,0
29750286,0
29750292,0
29750298,0
29750305,0
29750311,0
29749459,4.95
29751369,1.95
29751386,1.29
29751397,0.03
29751405,0.87
29751410,0.03
29752923,0
29752143,0
29755143,0
29755592,0
29758001,0
29758602,0
29760489,4.04
29760557,0
29761367,0
29760534,3.57
29760575,2.84
29760589,1.56
29760607,0.43
29760617,0
29760624,0
29760634,0
29760637,0
29760685,0
29762578,0
29762825,0
29760573,3.39
29764529,0
29764530,0
29764685,0
29775226,0
29748140,5.25
29751356,5.6
29768722,0
29771606,0
29773587,0
29775383,0
29775542,0
29775927,0
29777602,0
29778898,0
29779869,0
29779872,0
29780146,0
29780548,0
29781843,0
29782831,0
29782838,0
29782209,0
29782210,0
29782211,0
29782212,0
29782745,0
29783157,0.03
29784110,0
29784351,0
29785441,0
29785631,0.62
29785654,2.16
29785779,0.05
29786583,0
29786755,2.29
29787073,0.82
29787881,0
29788449,2.71
29788278,3.71
29789250,3.13
29788985,0
29789634,2.59
29790329,3.32
29791041,3.16
29790564,0
29791541,0
29792019,4.61
29791810,2.95
29792903,0
29793316,3.09
29793537,3.84
29794771,2.47
29794315,0
29794475,2.09
29812355,0
29812753,0.33
29812946,0.51
29813972,0
29813695,0
29814321,0
29815003,0
29815044,0
29815389,0
29816405,0
29816266,0
29816695,0
29818442,0
29818452,0
29817396,0
29817612,0
29818685,0
29819019,0
29819966,0
29819775,0
29820709,0
29821490,0
29824845,0
29828086,0
29830374,0
29832268,0
29832270,0
29832764,0
29833060,0
29834076,0
29834294,0
29835444,0
29834518,0
29835634,0
29835878,0
29836839,0
29837405,0
29837353,0
29837703,0
29838500,0
29838701,0
29839530,0.01
29839518,0
29839658,0
29839999,0.02
29840948,0
29841851,1.36
29841127,1.93
29842299,0
29842723,2.16
29842264,1.65
29843566,0
29844002,1.19
29844698,0
29844903,2.98
29844909,2.7
29845214,4.1
29846141,0
29846760,0.85
29846519,3.61
29847268,0
29847582,2.77
29847836,1.07
29848617,0
29849091,0.81
29849145,2.15
29849802,0
29850108,2.64
29850224,0
29851038,0
29851421,0
29852012,1.44
29852434,0
29852245,0
29853140,0.13
29853646,0
29854341,0
29853925,0
29854645,0
29854853,0
29855086,0
29855982,0
29856387,0
29856991,0
29857255,0
29857325,0
29857625,0
29858605,0
29858420,0
29859524,0
29859722,0
29861174,0
29865558,0
29868660,0
29870018,0
29871928,0
29871931,0
29871944,0
29871947,0
29871948,0
29872106,0
29872500,0
29874252,0
29875131,0
29873954,0
29875332,0
29875589,0
29876833,0
29877609,0
29878267,0
29878465,0
29879236,0
29879238,0
29879239,0
29879773,0.43
29880862,0
29880865,0.76
29880631,0
29880648,0
29881160,1.26
29882215,1.35
29881987,0
29882445,2.33
29883169,0
29883359,3
29884845,2.03
29884451,0
29885620,0
29886650,0
29888294,0
29888539,4.79
29885936,0.28
29886887,3.04
29886890,2.3
29886891,0.75
29886892,2.94
29887098,2.01
29889237,0
29889638,0.82
29889641,0.04
29889702,0.94
29891062,1.83
29890679,0
29890934,1.4
29891905,0
29892084,0.06
29892865,0.11
29893392,0
29893132,0
29894144,0
29894458,0
29895705,0
29894710,0
29895518,0
29896470,0
29894356,0
29896991,0
29897239,0
29896783,0
29897983,0
29898268,0
29899015,0
29899225,0
29899458,0
29900197,0
29900625,0
29902943,0
29907756,0
29908963,0
29912304,0
29911881,0
29913797,0
29914104,0
29915024,0
29916239,0
29916240,0
29916241,0
29916242,0
29916243,0
29915248,0
29916630,0
29916871,0
29918046,0
29918425,0
29921453,0.61
29921607,0
29920728,0.35
29919224,0
29919421,0.02
29920498,0
29920159,0
29920163,0
29920164,0
29921829,2.81
29922596,2.01
29922848,0
29923126,4.82
29924105,2.91
29924110,1.82
29924055,11.866
29924512,4.75
29925609,0.14
29925520,22.033
29925891,2.58
29927014,3.54
29926643,1.19
29926607,27.962
29927823,12.571
29928016,3.84
29929062,15.901
29929287,2.89
29930027,1.49
29930033,1.89
29930201,9.633
29930709,1.02
29931620,0.33
29930504,0.82
29931381,0
29931914,0.2
29934037,0
29932604,0
29932966,0
29933606,0
29933810,0
29934839,0
29935166,0
29935136,0
29935471,0
29936382,0
29936620,0
29937356,0
29937550,0
29938553,0
29937798,0
29938814,0
29941085,0
29940309,0
29939770,0
29939010,0
29943948,0
29949789,0
29948078,0
29951710,0
29952151,0
29952085,0
29952497,0
29953696,0
29953878,0
29954629,0
29954791,0
29955980,0
29955147,0
29956098,0
29956323,0
29957243,0
29958791,0
29957656,0
29957919,0
29959248,0.01
29959549,0
29960585,1.6
29960069,0
29960430,0.03
29960436,1.13
29961646,0
29962013,3.82
29963140,2.47
29963141,3.25
29962901,0
29963499,5.45
29964778,4.05
29964306,0
29965392,3.67
29965394,3.85
29965627,0
29966063,1.55
29967274,3.98
29966902,0
29967418,1.12
29968044,0
29968568,1.72
29969820,4.58
29969152,0
29970585,0
29970974,3.5
29971824,0
29972284,1.27
29971836,2.8
29971839,1.86
29971847,1.81
29971848,0.54
29973211,0.04
29973505,0
29973994,0
29973996,0
29974152,0
29974508,0
29975347,0
29975646,0
29976376,0
29976767,0
29976945,0
29977738,0
29978083,0
29978318,0
29979090,0
29979258,0
29979453,0
29980201,0
29980632,0
29983787,0
29987660,0
29991422,0
29991425,0
29989450,0
29991672,0
29993401,0
29992090,0
29993536,0
29993829,0
29994698,0
29994991,0
29995322,0
29996093,0
29996268,0
29996480,0
29997334,0
29998596,0
29997650,0
29997841,0
29998831,0
29999072,0.23
29999894,0
30000098,0
30000344,0.1
30001032,0
30001587,0.78
30001593,1.5
30001578,0.65
30003078,1.91
30002798,1.77
30002758,0
30003932,3.44
30003775,0
